Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\_OP_RXFLAG,1,228,177.506,747.405,482.082,163.606,13.871,0.029,60,13558
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\PONGKHAP,2,228,177.506,747.405,482.082,163.606,13.871,0.029,60,13558
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\PRADITP,1,228,177.506,747.405,482.082,163.606,13.871,0.029,60,13558
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\RUTTIKAK,223,228,177.506,747.405,482.082,163.606,13.871,0.029,60,13558
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\SUPAPHOR,1,228,177.506,747.405,482.082,163.606,13.871,0.029,60,13558
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\chanunchida.k,20,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\KADSADAS,9,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\KANNIKAN,2,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\MANATSAS,15,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\Ratimakh,3,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\URAIPORK,2,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\VITHIDAK,5,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
EMTC,March 2026,/EMTC Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,LUXGROUP\JaneLai,14,70,115.826,1162.823,322.237,14.935,70.699,30.192,64013,27632312
