Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
EOLT,March 2026,/Subscriptions/RX_RS_RP_LaunchedOrders,RX_RS_RP_LaunchedOrders,NT SERVICE\SQLServerReportingServices,14,14,263.766,825.367,616.234,239.228,15.811,8.727,89114,20430924
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\_op_ic_eolt2,1,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\CHATCHAT,1,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\KAMONPOT,3,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\Kanyapron.K,28,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\PHATRACM,10,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\Suphawac,1,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\WARANYAS,1,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\WongchalermB,21,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ELCORP\MontrakomN,3,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,NT SERVICE\SQLServerReportingServices,75,144,143.327,956.886,556.665,45.479,63.749,34.098,226930,23333362
EOLT,March 2026,/Subscriptions/RX_RS_RP_Yields_Daily,RX_RS_RP_Yields_Daily,NT SERVICE\SQLServerReportingServices,14,14,332.128,625.250,549.312,183.674,145.687,2.767,124095,5657122
EOLT,March 2026,/Subscriptions/RX_RS_RP_SUBS_Daily_Inventory_Issuances,RX_RS_RP_SUBS_Daily_Inventory_Issuances,NT SERVICE\SQLServerReportingServices,14,14,120.467,496.863,400.568,105.917,7.566,6.984,89476,20060520
EOLT,March 2026,/Subscriptions/RX_RS_RP_Yields_Daily_Finance,RX_RS_RP_Yields_Daily_Finance,NT SERVICE\SQLServerReportingServices,14,14,205.648,399.601,365.152,186.077,16.816,2.756,123388,269296
EOLT,March 2026,/Subscriptions/RX_RS_RP_SUBS_WIP_Kitting_Info,RX_RS_RP_SUBS_WIP_Kitting_Info,NT SERVICE\SQLServerReportingServices,358,358,182.292,777.230,316.866,63.001,46.159,73.133,270823,101042020
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ASIA\_op_e&m,1,40,91.478,894.289,255.800,91.125,0.037,0.316,402,309937
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ASIA\CHOKCHAS,1,40,91.478,894.289,255.800,91.125,0.037,0.316,402,309937
EOLT,March 2026,/EOLT Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ASIA\onuma,9,40,91.478,894.289,255.800,91.125,0.037,0.316,402,309937
