Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_OrderTracking,RX_RS_RP_OrderTracking,ASIA\ne_alex,172,172,36.609,121.486,81.304,8.429,21.128,7.052,72986,19065476
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_CS_OrderStatus_Details,RX_RS_RP_CS_OrderStatus_Details,ASIA\ne_alex,3,4,22.296,64.712,58.62,17.144,4.501,0.65,31063,105686
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_CS_OrderStatus_Details,RX_RS_RP_CS_OrderStatus_Details,ASIA\PHAWINEE,1,4,22.296,64.712,58.62,17.144,4.501,0.65,31063,105686
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_OrderTracking_With_StaticTime,RX_RS_RP_OrderTracking_With_StaticTime,ASIA\ne_alex,11,11,10.659,82.937,52.951,3.373,4.835,2.451,22235,12517279
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_SfInformation,RX_RS_RP_SfInformation,ASIA\PHAWINEE,2,7,10.702,35.011,31.963,1.361,3.686,5.656,93213,8273272
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_SfInformation,RX_RS_RP_SfInformation,ASIA\SHIND,4,7,10.702,35.011,31.963,1.361,3.686,5.656,93213,8273272
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_SfInformation,RX_RS_RP_SfInformation,EUROPE\sakait,1,7,10.702,35.011,31.963,1.361,3.686,5.656,93213,8273272
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,ASIA\BUQUIZB,1,1277,9.015,30.247,12.963,8.974,0.025,0.016,132,14116
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,ASIA\ne_alex,1274,1277,9.015,30.247,12.963,8.974,0.025,0.016,132,14116
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,ASIA\SHIND,2,1277,9.015,30.247,12.963,8.974,0.025,0.016,132,14116
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_HC_Detreatment_Yield_Extract,RX_RS_RP_HC_Detreatment_Yield_Extract,ASIA\Jyotika.R,1,244,3.519,34.832,9.061,2.606,0.348,0.565,6508,1034427
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_HC_Detreatment_Yield_Extract,RX_RS_RP_HC_Detreatment_Yield_Extract,ASIA\KAMATAGP,4,244,3.519,34.832,9.061,2.606,0.348,0.565,6508,1034427
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_HC_Detreatment_Yield_Extract,RX_RS_RP_HC_Detreatment_Yield_Extract,ASIA\ne_alex,186,244,3.519,34.832,9.061,2.606,0.348,0.565,6508,1034427
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_HC_Detreatment_Yield_Extract,RX_RS_RP_HC_Detreatment_Yield_Extract,ASIA\PHAWINEE,3,244,3.519,34.832,9.061,2.606,0.348,0.565,6508,1034427
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_HC_Detreatment_Yield_Extract,RX_RS_RP_HC_Detreatment_Yield_Extract,ASIA\SHIND,6,244,3.519,34.832,9.061,2.606,0.348,0.565,6508,1034427
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_HC_Detreatment_Yield_Extract,RX_RS_RP_HC_Detreatment_Yield_Extract,NT SERVICE\SQLServerReportingServices,44,244,3.519,34.832,9.061,2.606,0.348,0.565,6508,1034427
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,ASIA\ne_alex,43,45,5.701,9.578,8.486,5.321,0.325,0.054,13546,124940
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,ASIA\YUKIM,2,45,5.701,9.578,8.486,5.321,0.325,0.054,13546,124940
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\KAMATAGP,1,325,2.309,100.164,6.937,1.514,0.528,0.267,7666,451758
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\ne_alex,285,325,2.309,100.164,6.937,1.514,0.528,0.267,7666,451758
AICHI,March 2026,/AICHI Rx Lab Reports/RX_RS_RP_YieldsHisto_Extraction,RX_RS_RP_YieldsHisto_Extraction,ASIA\YAMAGUCT,32,325,2.309,100.164,6.937,1.514,0.528,0.267,7666,451758
