Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_RxStock_RangeSetUp,RX_RS_RP_RxStock_RangeSetUp,ASIA\_CHLOE_HC_T01,1,1,1266.960,1266.960,1266.960,34.353,1223.184,9.423,579188,77959
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicedOrderTracking_Daily,RX_RS_RP_InvoicedOrderTracking_Daily,NT SERVICE\SQLServerReportingServices,362,362,216.927,2448.704,1110.737,207.370,3.938,5.620,21874,9243629
CHLOE,March 2026,/Subscriptions/RX_RS_RP_SUBS_Hourly_ConfirmityCheckHisto,RX_RS_RP_SUBS_Hourly_ConfirmityCheckHisto,NT SERVICE\SQLServerReportingServices,51,51,355.638,1312.102,914.892,308.561,24.186,22.892,129293,33409972
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\_SA_RXITAM,5,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\caibeibe,516,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\chloeshi,1,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\houjiafe,1,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\IRADAP,1,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\KUARUN,28,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\LIQIN,1,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\NICHAK,6,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\RAMITAK,17,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\Ratimakh,14,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\sarawutk,8,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\savithan,8,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\shouyuji,7,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
CHLOE,March 2026,/CHLOE Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\wangyiti,2,894,138.910,1720.063,817.754,8.335,121.154,9.422,32174,6176467
