Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_ConfirmityCheckHisto,RX_RS_RP_ConfirmityCheckHisto,ELCORP\338622,1,1,1167.519,1167.519,1167.519,1165.81,1.277,0.432,17736,72035
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_InternalLeadTimesDistribution,RX_RS_RP_InternalLeadTimesDistribution,ASIA\deepav,3,12,103.944,323.63,255.07,102.547,0.726,0.671,18636,531673
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_InternalLeadTimesDistribution,RX_RS_RP_InternalLeadTimesDistribution,ELCORP\334133,1,12,103.944,323.63,255.07,102.547,0.726,0.671,18636,531673
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_InternalLeadTimesDistribution,RX_RS_RP_InternalLeadTimesDistribution,ELCORP\796438,8,12,103.944,323.63,255.07,102.547,0.726,0.671,18636,531673
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_Frame_WIP_Sourcing,RX_RS_RP_Frame_WIP_Sourcing,ELCORP\796438,101,103,154.656,243.324,225.555,6.197,138.193,10.266,23883,6477338
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_Frame_WIP_Sourcing,RX_RS_RP_Frame_WIP_Sourcing,ELCORP\Jonathon.GIBSON,2,103,154.656,243.324,225.555,6.197,138.193,10.266,23883,6477338
COLUMBUS,March 2026,,,ASIA\KUARUN,21,21,27.57,217.04,206.518,23.124,4.124,0.323,15100,12728
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_OrderTracking,RX_RS_RP_OrderTracking,ASIA\KAMATAGP,5,7,49.558,216.329,164.622,31.122,18.047,0.389,45881,243433
COLUMBUS,March 2026,/COLUMBUS Rx Lab Reports/RX_RS_RP_OrderTracking,RX_RS_RP_OrderTracking,ELCORP\Kevin.Licon,2,7,49.558,216.329,164.622,31.122,18.047,0.389,45881,243433
COLUMBUS,March 2026,/Subscriptions/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ASIA\KUARUN,1,4154,68.576,463.928,147.461,53.754,9.27,5.552,45477,6291655
COLUMBUS,March 2026,/Subscriptions/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,NT Service\SQLServerReportingServices,4153,4154,68.576,463.928,147.461,53.754,9.27,5.552,45477,6291655
COLUMBUS,March 2026,/Subscriptions/RX_RS_RP_WIP (light),RX_RS_RP_WIP (light),NT Service\SQLServerReportingServices,2066,2066,62.775,485.645,101.509,37.094,16.421,9.261,31453,9070763
