Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\AvalosJJ,1,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\CRMarquez,1,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\JATorres,7,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\Kevin.Licon,2,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\LFRodriguez,2,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\MEZAJITE,2,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\ReginaMartin,1,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport_Details,RX_RS_RP_ProductivityReport_Details,ELCORP\SOTELODO,4,20,109.421,204.92,177.982,109.252,0.057,0.113,531,204815
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ASIA\KUARUN,3,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ASIA\savithan,2,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\ADiaz,5,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\AlejandroCan,208,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\Andres.Ruiz,10157,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\ARivas,2,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\ARodriguez2,52,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\AvalosJJ,408,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\CRMarquez,69,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\DanielVillal,4,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\Dennis.Baca,10,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\EGONZALES,3984,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\JATorres,593,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\josedomin,370,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\Kevin.Licon,7,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\LFRodriguez,667,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\MARTIDEY,51,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\MEZAJITE,75,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\ReginaMartin,17,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\RSalvatierra,30,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
ECO2,Mar-26,/ECO2 Rx Lab Reports/RX_RS_RP_ProductivityReport,RX_RS_RP_ProductivityReport,ELCORP\Sofia.Mendez,5,19141,84.036,1681.978,174.714,82.506,0.838,0.692,9029,1617200
