Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
ELTL,March 2026,/Subscriptions/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\KAMATAGP,4,122,1276.087,1822.739,1741.689,1111.966,103.575,60.547,258293,80446813
ELTL,March 2026,/Subscriptions/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),NT SERVICE\SQLServerReportingServices,118,122,1276.087,1822.739,1741.689,1111.966,103.575,60.547,258293,80446813
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,ASIA\ANIRUTHN,1,1,1603.501,1603.501,1603.501,1596.244,7.239,0.018,95850,17123
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\AMORNRAT,12,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\ANIRUTHN,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\BOONTARA,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\dilok,5,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\JIRAPORS,18,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\KAJOHNSW,21,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\KAMATAGP,13,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\KUARUN,1,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\naiyanap,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\PAKORNC,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\PALITAC,11,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\PETEP,2,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\SANAYC,29,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\sarinrac,127,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\savithan,2,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\somsak.a,58,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\SUPHALEK,4,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\WARAVOON,29,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ASIA\WIMONRAT,2,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\_TA1_C.JUNTARAMANEE,2,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\_TA1_J.RUANGPHO,2,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\APimnonthong,1,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\BENNEOUS,6,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\BOONJEEC,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\BOONRATC,300,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\ChaiaedM,130,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\CHAIYAVONGT,503,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\CHANKHET,135,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\ChinnabutW,1,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\DUANGNETWAL,104,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\HANSAMERNAT,1,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\KAMNGAMP,29,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\KanjanachatS,31,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\KHAEKJAA,4,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\KhrueachanS,57,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\KRITAPAN,1,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\KusonkrongR,109,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\LertphukhiaP,612,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\MeegusonN,7,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\MichanghanP,102,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\MINGSIRR,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\MorawongT,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\NAPRANGJ,39,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\NarinW,5,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\NONTAKOK,11,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\PhanthongN,6,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\PhochaithonS,5,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\PORNTHIPN,4,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\RATTANAH,14,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\SaiyanoA,160,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\SERMSRIC,65,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\SLaikornburi,115,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\SomboonPa,3,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\SomsitN,307,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\SukprakhonN,107,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\TANGTRAD,8,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\VICHIANTIAPS,7,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\WONGARSAJ,146,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
ELTL,March 2026,/ELTL Rx Lab Reports/RX_RS_RP_WIP_(light),RX_RS_RP_WIP_(light),ELCORP\WongkruaN,1,3495,657.433,1847.370,1389.330,636.112,17.883,3.438,50664,5925231
