Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_LateInvoicedOrders,RX_RS_RP_LateInvoicedOrders,ASIA\nithiya.k,3,3,189.119,356.446,331.608,187.512,0.699,0.908,13188,9680203
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\_OP_IN_FLAGGING,4,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\_OP_IN_QC,1,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\BIRADARN,1,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\hmc_tint,11,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\HSHIVA,41,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\nithiya.k,3,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\PRASHANTHAM,2,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_HC_Detreatment_YieldHisto,RX_RS_RP_HC_Detreatment_YieldHisto,ASIA\SINGHJ,15,78,135.369,343.219,289.785,135.29,0.066,0.013,80,12681
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\_OP_IN_QA,43,238,57.558,1848.069,248.012,4.972,44.624,7.963,43357,12376650
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\BIRADAKK,1,238,57.558,1848.069,248.012,4.972,44.624,7.963,43357,12376650
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\BMANJU,4,238,57.558,1848.069,248.012,4.972,44.624,7.963,43357,12376650
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\BOOPATHN,3,238,57.558,1848.069,248.012,4.972,44.624,7.963,43357,12376650
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\chithrakalar,1,238,57.558,1848.069,248.012,4.972,44.624,7.963,43357,12376650
EMIL,March 2026,/EMIL Rx Lab Reports/RX_RS_RP_InvoicesHisto,RX_RS_RP_InvoicesHisto,ASIA\EMILQA,104,238,57.558,1848.069,248.012,4.972,44.624,7.963,43357,12376650
