Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\Abdoulc,1,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\BABAN,109,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\BOUGUILH,15,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\CALLOV,9,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\DIDIERS,8,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\DUMONTC,31,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\GarnierB,5,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\kouohmf,2,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\MboupK,1,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\NOURRYN,2,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\PazAla,2,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\SAVYD,188,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\SMAALIJ,9,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\THOMASL,4,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,ELCORP\YOUSSFAZ,5,391,116.751,1468.57,970.355,116.278,0.297,0.176,7918,458343
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,ELCORP\ACHYJE,4,472,85.116,590.541,430.483,82.654,0.358,2.104,99716,3903460
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,ELCORP\AMIELS,1,472,85.116,590.541,430.483,82.654,0.358,2.104,99716,3903460
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,ELCORP\annel,2,472,85.116,590.541,430.483,82.654,0.358,2.104,99716,3903460
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,ELCORP\BABAN,107,472,85.116,590.541,430.483,82.654,0.358,2.104,99716,3903460
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,ELCORP\BENCHISH,11,472,85.116,590.541,430.483,82.654,0.358,2.104,99716,3903460
LABEX,March 2026,/LABEX Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,ELCORP\BENNEOUS,12,472,85.116,590.541,430.483,82.654,0.358,2.104,99716,3903460
