Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_InternalLeadTimesDistribution,RX_RS_RP_InternalLeadTimesDistribution,LUXGROUP\LiamoniP,3,5,232.987,669.47,590.264,231.117,1.087,0.783,21848,802336
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_InternalLeadTimesDistribution,RX_RS_RP_InternalLeadTimesDistribution,LUXGROUP\STEFANAS,2,5,232.987,669.47,590.264,231.117,1.087,0.783,21848,802336
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,LUXGROUP\FagherazziM,6,17,78.825,614.411,270.134,74.753,3.056,1.016,51153,1722626
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,LUXGROUP\HulubA,2,17,78.825,614.411,270.134,74.753,3.056,1.016,51153,1722626
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,LUXGROUP\LiamoniP,2,17,78.825,614.411,270.134,74.753,3.056,1.016,51153,1722626
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,LUXGROUP\MattiaB,3,17,78.825,614.411,270.134,74.753,3.056,1.016,51153,1722626
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Daily_Machine_Output,RX_RS_RP_Daily_Machine_Output,LUXGROUP\ValcacciaG,4,17,78.825,614.411,270.134,74.753,3.056,1.016,51153,1722626
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,LUXGROUP\GBorges,3,55,65.385,213.408,152.201,65.272,0.081,0.032,524,4467
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,LUXGROUP\MassimoP,1,55,65.385,213.408,152.201,65.272,0.081,0.032,524,4467
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,LUXGROUP\MattiaB,4,55,65.385,213.408,152.201,65.272,0.081,0.032,524,4467
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,LUXGROUP\STEFANAS,47,55,65.385,213.408,152.201,65.272,0.081,0.032,524,4467
SEDICO,March 2026,/Subscriptions/RX_RS_RP_WIP_light_Summary,RX_RS_RP_WIP_light_Summary,ASIA\KUARUN,2,43,53.224,81.935,77.071,46.499,5.701,1.025,24772,1818546
SEDICO,March 2026,/Subscriptions/RX_RS_RP_WIP_light_Summary,RX_RS_RP_WIP_light_Summary,NT SERVICE\SQLServerReportingServices,41,43,53.224,81.935,77.071,46.499,5.701,1.025,24772,1818546
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_OpenOrderFailedAndRejprov,RX_RS_RP_OpenOrderFailedAndRejprov,ASIA\KUARUN,3,214,25.867,84.818,68.905,25.779,0.042,0.046,44,70872
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_OpenOrderFailedAndRejprov,RX_RS_RP_OpenOrderFailedAndRejprov,LUXGROUP\CVeronese,184,214,25.867,84.818,68.905,25.779,0.042,0.046,44,70872
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_OpenOrderFailedAndRejprov,RX_RS_RP_OpenOrderFailedAndRejprov,LUXGROUP\MarittimiA,25,214,25.867,84.818,68.905,25.779,0.042,0.046,44,70872
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_OpenOrderFailedAndRejprov,RX_RS_RP_OpenOrderFailedAndRejprov,LUXGROUP\MassimoP,2,214,25.867,84.818,68.905,25.779,0.042,0.046,44,70872
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_WIP (light),RX_RS_RP_WIP (light),LUXGROUP\AlessandroT,67,2990,31.87,108.439,56.552,25.314,3.706,2.849,20569,4116904
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_WIP (light),RX_RS_RP_WIP (light),LUXGROUP\AliUma,4,2990,31.87,108.439,56.552,25.314,3.706,2.849,20569,4116904
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_WIP (light),RX_RS_RP_WIP (light),LUXGROUP\BentivengaM,517,2990,31.87,108.439,56.552,25.314,3.706,2.849,20569,4116904
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_WIP (light),RX_RS_RP_WIP (light),LUXGROUP\CastilloABJ,89,2990,31.87,108.439,56.552,25.314,3.706,2.849,20569,4116904
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_WIP (light),RX_RS_RP_WIP (light),LUXGROUP\CosmaD,82,2990,31.87,108.439,56.552,25.314,3.706,2.849,20569,4116904
SEDICO,March 2026,/SEDICO Rx Lab Reports/RX_RS_RP_WIP (light),RX_RS_RP_WIP (light),LUXGROUP\CVeronese,259,2990,31.87,108.439,56.552,25.314,3.706,2.849,20569,4116904
