Entity,Month,ItemPath,ReportName,UserName,UserExecCount,NbExecutions,Avg_TotalDuration_Sec,Max_TotalDuration_Sec,P95_TotalDuration_Sec,Avg_DataRetrieval_Sec,Avg_Processing_Sec,Avg_Rendering_Sec,Avg_RowCount,Avg_ByteCount
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,LUXGROUP\28148495,5,8,160.844,492.363,471.649,160.684,0.072,0.088,176,4104
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,LUXGROUP\28188188,1,8,160.844,492.363,471.649,160.684,0.072,0.088,176,4104
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Yields,RX_RS_RP_Yields,LUXGROUP\WeibiaoHuang,2,8,160.844,492.363,471.649,160.684,0.072,0.088,176,4104
TRISTAR,March 2026,/Subscriptions/RX_RS_RP_SUBS_ParkedLenses,RX_RS_RP_SUBS_ParkedLenses,LUXGROUP\YongCheng,1,132,144.283,1807.266,242.581,143.937,0.277,0.068,60,8833
TRISTAR,March 2026,/Subscriptions/RX_RS_RP_SUBS_ParkedLenses,RX_RS_RP_SUBS_ParkedLenses,NT SERVICE\SQLServerReportingServices,131,132,144.283,1807.266,242.581,143.937,0.277,0.068,60,8833
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28137571,4,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28143065,4,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28156014,7,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28156044,49,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28157303,35,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28161021,12,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28163659,3,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28165120,328,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28166613,11,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28167301,200,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28184243,2,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28191592,3,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\28201874,3,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\AndyLiRX,1,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\CeciliaPeng,192,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\CeciliaYang,17,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\HaixianQin,61,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\JaneGao,66,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\JellyLiu,15,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\JingangRao,2,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\MingxingFang,3,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\RunmingChen,4,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\SherryYuan,437,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\WeibiaoHuang,1,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\XianshunZ,244,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_RealTimeEntry,RX_RS_RP_RealTimeEntry,LUXGROUP\YulingXiong,44,1748,73.787,1721.254,163.491,72.763,0.692,0.333,29265,1706931
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,LUXGROUP\JingangRao,17,387,76.335,1680.358,134.228,76.283,0.026,0.026,1997,22523
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ProductionFollowUp,RX_RS_RP_ProductionFollowUp,LUXGROUP\XianshunZ,370,387,76.335,1680.358,134.228,76.283,0.026,0.026,1997,22523
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ClosedOrders_Summary,RX_RS_RP_ClosedOrders_Summary,LUXGROUP\HuipingLiu,173,493,44.424,1588.354,108.868,41.525,1.619,1.28,19659,2235918
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ClosedOrders_Summary,RX_RS_RP_ClosedOrders_Summary,LUXGROUP\JaneGao,25,493,44.424,1588.354,108.868,41.525,1.619,1.28,19659,2235918
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ClosedOrders_Summary,RX_RS_RP_ClosedOrders_Summary,LUXGROUP\JellyLiu,1,493,44.424,1588.354,108.868,41.525,1.619,1.28,19659,2235918
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ClosedOrders_Summary,RX_RS_RP_ClosedOrders_Summary,LUXGROUP\QiongJin,285,493,44.424,1588.354,108.868,41.525,1.619,1.28,19659,2235918
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ClosedOrders_Summary,RX_RS_RP_ClosedOrders_Summary,LUXGROUP\WeibiaoHuang,5,493,44.424,1588.354,108.868,41.525,1.619,1.28,19659,2235918
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_ClosedOrders_Summary,RX_RS_RP_ClosedOrders_Summary,LUXGROUP\YulingXiong,4,493,44.424,1588.354,108.868,41.525,1.619,1.28,19659,2235918
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Static_Report,RX_RS_RP_Static_Report,LUXGROUP\AndyLiRX,1,1,94.605,94.605,94.605,93.968,0.514,0.123,11682,956165
TRISTAR,March 2026,/Subscriptions/RX_RS_RP_SUBS_DailyShippedDetails,RX_RS_RP_SUBS_DailyShippedDetails,NT SERVICE\SQLServerReportingServices,44,44,108.101,1787.875,94.465,107.214,0.413,0.474,11962,2294441
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,ASIA\KAMATAGP,5,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,ASIA\NICHAK,1,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\28107494,2185,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\28143065,8,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\28148495,2,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\28149178,1,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\28159728,1,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\28165120,98,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\28167301,104,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\BingyingH,32,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\ChrisSu,20,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\HaixianQin,24,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\HuipingLiu,397,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\JianLiao,3121,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\JingangRao,7,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\LushenWang,845,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
TRISTAR,March 2026,/TRISTAR Rx Lab Reports/RX_RS_RP_Capacities_Tracking,RX_RS_RP_Capacities_Tracking,LUXGROUP\SherryYuan,36,6893,33.213,1740.529,84.505,32.533,0.593,0.087,4549,122671
